1,1441698575610,0,0,1,0,off-topic,1441698575610,144,25,Coming up on @TheTodayShow the 2 Gold Coast surf rescue heroes Nick &amp; Angus http://t.co/cpdHmuBr
2,1441698575802,1,0,1,0,on-topic,192,124,27,Waiting out the storm  with slipped_diss  @ Kookaburra Cafe http://t.co/Pwubs60t
3,1441698575803,1,0,1,0,on-topic,1,169,30,#FitzroyRiver catchment is 2nd largest in #AUS and peak not expected to hit #Rockhampton for another week! #BigWet #QldFloods
4,1441698575804,0,0,1,0,off-topic,1,171,31,Me, Dallas and joeeyy33 . We on that patron boys !! #fuckinwasted #drunkennights #kayjays21st @ Hot Gossip http://t.co/aMISLwdE
5,1441698575804,0,0,1,0,off-topic,0,107,32,Works was hectic today. So much drama for one small business :/
6,1441698575805,0,0,1,0,off-topic,1,89,33,@yougomarniecoco that's what they are saying.
7,1441698575805,0,0,1,0,off-topic,0,94,34,I DUN LIKE MY MATH AND BUSINESS CLASS HERE. K bye.
8,1441698575806,0,0,1,0,off-topic,1,126,35,@PuddStrikesBack *damn fat fingers* and you could cock punch him in the bacon bits
9,1441698575807,0,0,1,0,off-topic,1,153,36,I've finally seen the wind turbines! Impressive! (@ Windy Hill Wind Farm w/ @mr_billiam) http://t.co/wMYAswl8
10,1441698575809,0,0,1,0,off-topic,2,144,37,Enjoying your #AustraliaDay holiday? Check my blog post! http://t.co/zjPIX0FN #Australia #indigenous
11,1441698575810,0,0,1,0,off-topic,1,90,38,@Cast_Nath @sbear0112 wow that was a while ago
12,1441698575810,0,0,1,0,off-topic,0,188,39,@MicalSpears4SBF Friday is over Saturday is here where I am off to support INM at an aboriginal corroboree. Blessings on you &amp; your Friday..
13,1441698575976,0,0,1,0,off-topic,166,148,40,@LittleBirdie87 Ugh he's just so condescending and pretentious. It's a pity they're the Queensland team.
14,1441698575977,0,0,1,0,off-topic,1,95,41,Using lunch break to take photos for CV. #ActorLife
15,1441698575977,0,0,1,0,off-topic,0,109,42,@Abloorable well done. You forgot to mention 86 twitter accounts!
16,1441698575977,0,0,1,0,off-topic,0,147,43,son and family have tickets for the Keith urban concert flew down on Friday disappointed #themthebreaks
17,1441698575981,0,0,1,0,off-topic,4,107,44,Friday market (at Elizabeth Street) [pic]  http://t.co/3jQ38CZ1
18,1441698575981,0,0,1,0,off-topic,0,109,45,@sherwin 1000 pages is far too long for my feeble brain right now
19,1441698575981,0,0,1,0,off-topic,0,128,46,Mhmm watching basketball on tv ATM and them hot cheerleaders! Holy shit! 8=========D
20,1441698575982,0,0,1,0,off-topic,1,82,47,@Sky_W82 lol i dont like photos of me.
21,1441698575982,1,0,1,0,on-topic,0,126,48,.....the rowing club next to out apartment block is underwater, warm &amp; wet....
22,1441698575982,0,0,1,0,off-topic,0,153,49,@9NewsBrisbane: RT @jsthirtyfive: QLD police couldn't resist having a hell time. #bigwet http://t.co/u5KjAKtB
23,1441698575982,0,0,1,0,off-topic,0,151,50,@sbear0112 DVDs have different region codes, so American/Canada is 1, UK is 2 and Australia/NZ are region 4
24,1441698576164,0,0,1,0,off-topic,182,132,17,Like I don't even remember the born this way or monster balls it still seems surreal idk
25,1441698576164,0,0,1,0,off-topic,0,98,18,@LiamPayne69me hey babe could I please get a follow :)
26,1441698576164,0,0,1,0,off-topic,0,134,19,I just ousted @benhamilton as the mayor of Pizza Lane on @foursquare! http://t.co/TsXgQqdt
27,1441698576164,0,0,1,0,off-topic,0,73,20,@larryemdur you have my vote!
28,1441698576165,0,0,1,0,off-topic,1,81,21,@LozzKip I know I was a bit scared :(
29,1441698576165,0,0,1,0,off-topic,0,92,22,@NiallOfficial can I make you a cake? Which type
30,1441698576165,0,0,1,0,off-topic,0,111,23,What if the boys come to Movie World when I'm working next week OMG
31,1441698576165,0,0,1,0,off-topic,0,110,24,@StevieDacanay i wish i could afford to fly over from Oz for this!
32,1441698576165,0,0,1,0,off-topic,0,184,26,@R_McEwan @greglovey not yet buddy but 2 good lookin' civvy's like yourselves finding a job should be easy I'll even provide the pool table!
